Organism,Organism.rowname,Genome, MIXEDCLUSTER_CODING, OR1/3/7_CODING, OR1/3/7_PSEUDOGENE, OR10_CODING, OR10_PSEUDOGENE, OR11_CODING, OR11_PSEUDOGENE, OR12_CODING, OR12_PSEUDOGENE, OR14_CODING, OR14_PSEUDOGENE, OR2/13_CODING, OR2/13_PSEUDOGENE, OR4_CODING, OR4_PSEUDOGENE, OR5/8/9_CODING, OR5/8/9_PSEUDOGENE, OR51_CODING, OR51_PSEUDOGENE, OR52_CODING, OR52_PSEUDOGENE, OR55_CODING, OR55_PSEUDOGENE, OR56_CODING, OR56_PSEUDOGENE, OR6_CODING, OR6_PSEUDOGENE, TAAR1_PSEUDOGENE, TAAR2_PSEUDOGENE, TAAR3_PSEUDOGENE, TAAR5_PSEUDOGENE, TAAR6_PSEUDOGENE, TAAR7_PSEUDOGENE, TAAR8_PSEUDOGENE, TAAR9_PSEUDOGENE, TAS1R1_CODING, TAS1R1_PSEUDOGENE, TAS1R2_PSEUDOGENE, TAS1R3_PSEUDOGENE, V1R_CODING, V1R_PSEUDOGENE, V2R116_proteinAlignment_CODING, V2R116_proteinAlignment_PSEUDOGENE, V2R1_CODING, V2R1_PSEUDOGENE, V2R26_CODING, V2R26_PSEUDOGENE, bird_gammaOR_CODING, bird_gammaOR_PSEUDOGENE, squamate_V2r_CODING, squamate_V2r_PSEUDOGENE,VR_OR_CODING
Abramis_brama_GCA_022829085.1.collapsed.fasta,Abramis_brama,GCA_022829085.1.collapsed.fasta,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,10,4,14,1,29,22,1,1,61
Acanthisitta_chloris_GCA_000695815.1.collapsed.fasta,Acanthisitta_chloris,GCA_000695815.1.collapsed.fasta,,0,0,3,1,0,0,0,2,0,1,0,0,2,5,5,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,4,0,0,20
Acanthochaenus_luetkenii_GCA_900312575.1.collapsed.fasta,Acanthochaenus_luetkenii,GCA_900312575.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,6,5,1,4,0,1,9
Acanthochromis_polyacanthus_GCA_021347895.1.collapsed.fasta,Acanthochromis_polyacanthus,GCA_021347895.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11,3,26,12,5,35,0,6,44
Acanthopagrus_latus_GCA_904848185.1.collapsed.fasta,Acanthopagrus_latus,GCA_904848185.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,22,14,97,18,7,28,4,14,144
Acanthurus_coeruleus_GCA_029814675.1.collapsed.fasta,Acanthurus_coeruleus,GCA_029814675.1.collapsed.fasta,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,6,8,9,10,4,15,1,4,23
Acanthurus_grammoptilus_GCA_029814705.1.collapsed.fasta,Acanthurus_grammoptilus,GCA_029814705.1.collapsed.fasta,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,7,4,11,3,25,0,4,12
Acanthurus_leucopareius_GCA_029814765.1.collapsed.fasta,Acanthurus_leucopareius,GCA_029814765.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,6,16,10,19,7,21,1,4,26
Acanthurus_lineatus_GCA_029814665.1.collapsed.fasta,Acanthurus_lineatus,GCA_029814665.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,3,8,10,17,6,10,1,5,22
Acanthurus_nigricauda_GCA_029814725.1.collapsed.fasta,Acanthurus_nigricauda,GCA_029814725.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,7,8,11,6,17,1,4,20
Acanthurus_reversus_GCA_029823135.1.collapsed.fasta,Acanthurus_reversus,GCA_029823135.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,9,5,19,18,28,10,59,3,12,39
Acanthurus_tennentii_GCA_029783805.1.collapsed.fasta,Acanthurus_tennentii,GCA_029783805.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,4,9,18,15,3,24,1,6,27
Acanthurus_tractus_GCA_029783725.1.collapsed.fasta,Acanthurus_tractus,GCA_029783725.1.collapsed.fasta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,4,18,13,19,3,31,0,8,24
Accipiter_cirrocephalus_GCA_027479145.1.collapsed.fasta,Accipiter_cirrocephalus,GCA_027479145.1.collapsed.fasta,,0,0,7,3,0,0,0,2,0,6,1,2,2,1,15,3,2,7,8,3,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,7,41,0,0,48
Accipiter_cooperii_GCA_024222105.1.collapsed.fasta,Accipiter_cooperii,GCA_024222105.1.collapsed.fasta,,0,0,6,5,0,1,1,0,0,2,1,4,3,1,17,2,5,2,8,3,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,14,46,0,0,61
Accipiter_fasciatus_GCA_027475485.1.collapsed.fasta,Accipiter_fasciatus,GCA_027475485.1.collapsed.fasta,,0,0,6,6,0,2,1,0,0,3,1,2,3,0,16,2,3,5,8,3,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,8,41,0,0,54
Accipiter_gentilis_GCA_929443795.1.collapsed.fasta,Accipiter_gentilis,GCA_929443795.1.collapsed.fasta,,0,0,6,18,0,7,1,0,0,1,72,27,3,1,18,1,5,5,9,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,76,21,0,0,198
Accipiter_hiogaster_GCA_024363185.1.collapsed.fasta,Accipiter_hiogaster,GCA_024363185.1.collapsed.fasta,,0,0,6,8,0,1,1,0,0,2,1,2,2,1,16,1,2,7,8,3,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,12,25,0,0,54
Accipiter_melanochlamys_GCA_027497775.1.collapsed.fasta,Accipiter_melanochlamys,GCA_027497775.1.collapsed.fasta,,0,0,6,18,0,7,1,0,0,1,72,27,3,1,18,1,5,5,9,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,76,21,0,0,198
Accipiter_melanoleucus_GCA_027479025.1.collapsed.fasta,Accipiter_melanoleucus,GCA_027479025.1.collapsed.fasta,,0,0,7,5,0,3,1,0,0,6,1,2,3,1,16,4,4,4,9,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,9,51,0,0,57
Accipiter_novaehollandiae_GCA_027479285.1.collapsed.fasta,Accipiter_novaehollandiae,GCA_027479285.1.collapsed.fasta,,0,0,6,6,0,1,1,0,0,4,1,1,2,1,16,2,3,5,8,3,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,6,29,0,0,50
Accipiter_rufiventris_GCA_025308975.1.collapsed.fasta,Accipiter_rufiventris,GCA_025308975.1.collapsed.fasta,,0,0,6,3,0,1,1,1,0,3,1,2,3,1,17,7,5,3,8,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,11,33,0,0,59
Accipiter_soloensis_GCA_025727755.1.collapsed.fasta,Accipiter_soloensis,GCA_025727755.1.collapsed.fasta,,0,0,6,7,0,0,1,0,0,4,1,1,3,0,16,1,3,6,8,3,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9,29,0,0,55
Accipiter_superciliosus_GCA_027559655.1.collapsed.fasta,Accipiter_superciliosus,GCA_027559655.1.collapsed.fasta,,0,0,7,10,0,1,1,0,0,2,2,1,3,1,16,4,4,5,8,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,13,16,0,0,62
Accipiter_virgatus_GCA_025728005.1.collapsed.fasta,Accipiter_virgatus,GCA_025728005.1.collapsed.fasta,,0,0,8,4,0,0,1,0,0,6,1,1,3,1,17,3,5,5,8,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,12,32,0,0,62
Achondrostoma_oligolepis_GCA_029874615.1.collapsed.fasta,Achondrostoma_oligolepis,GCA_029874615.1.collapsed.fasta,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,8,17,13,26,9,14,31,2,4,66
Acinonyx_jubatus_GCA_027475565.2.collapsed.fasta,Acinonyx_jubatus,GCA_027475565.2.collapsed.fasta,,113,36,65,28,20,6,4,1,9,9,154,56,103,25,156,56,51,14,70,18,1,2,15,4,72,22,0,0,0,0,0,0,0,0,0,0,0,0,12,24,1,3,2,1,0,2,0,7,0,0,951
Acipenser_gueldenstaedtii_GCA_024762115.1.collapsed.fasta,Acipenser_gueldenstaedtii,GCA_024762115.1.collapsed.fasta,,0,0,4,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,2,2,8,32,31,23,40,11,42,2,8,82
Acipenser_oxyrinchus_oxyrinchus_GCA_013184475.1.collapsed.fasta,Acipenser_oxyrinchus_oxyrinchus,GCA_013184475.1.collapsed.fasta,,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,4,18,29,12,14,6,14,0,4,43
Acipenser_ruthenus_GCA_010645085.2.collapsed.fasta,Acipenser_ruthenus,GCA_010645085.2.collapsed.fasta,,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,2,0,2,2,60,9,61,14,29,42,3,3,185
Acipenser_transmontanus_GCA_020113195.1.collapsed.fasta,Acipenser_transmontanus,GCA_020113195.1.collapsed.fasta,,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,30,15,14,14,4,10,0,2,51
Acomys_cahirinus_GCA_029890205.1.collapsed.fasta,Acomys_cahirinus,GCA_029890205.1.collapsed.fasta,,99,20,93,10,10,3,11,1,4,4,157,25,112,19,266,35,55,4,71,5,3,0,8,3,81,2,0,0,0,0,0,0,0,0,0,1,0,0,68,20,180,107,7,0,0,1,0,3,0,2,1337
Acomys_dimidiatus_GCA_907164435.1.collapsed.fasta,Acomys_dimidiatus,GCA_907164435.1.collapsed.fasta,,93,22,83,19,8,4,7,6,4,4,139,35,128,21,253,47,54,4,67,9,2,0,7,1,68,5,0,0,0,0,0,0,0,0,0,1,0,0,55,17,106,77,6,0,0,1,0,1,0,1,1208
Acomys_kempi_GCA_907164505.1.collapsed.fasta,Acomys_kempi,GCA_907164505.1.collapsed.fasta,,93,14,85,9,11,1,4,2,3,4,108,9,101,22,243,46,49,3,61,6,2,1,8,1,52,8,0,0,0,0,0,0,0,0,0,1,0,0,31,7,23,19,6,0,0,0,0,0,0,0,981
Acomys_percivali_GCA_907169655.1.collapsed.fasta,Acomys_percivali,GCA_907169655.1.collapsed.fasta,,95,34,73,21,9,4,7,6,4,4,125,30,110,42,232,45,49,6,61,10,2,0,4,4,61,8,0,0,0,0,0,0,0,0,0,1,0,0,38,23,64,41,3,1,0,2,1,1,0,0,1048
